time (s),freq(clip(vtime("tran" "/OUT" nil ) 50n 100n ) "rising" ?xName "time" ?mode "user" ?threshold -0.06) (Hz)
86.95E-9,15.87E9
87.01E-9,15.87E9
87.07E-9,15.87E9
87.13E-9,15.87E9
87.20E-9,15.86E9
87.26E-9,15.87E9
87.32E-9,15.87E9
87.39E-9,15.86E9
87.45E-9,15.87E9
87.51E-9,15.86E9
87.58E-9,15.86E9
87.64E-9,15.86E9
87.70E-9,15.86E9
87.76E-9,15.86E9
87.83E-9,15.86E9
87.89E-9,15.86E9
87.95E-9,15.87E9
88.02E-9,15.87E9
88.08E-9,15.87E9
88.14E-9,15.88E9
88.21E-9,15.87E9
88.27E-9,15.88E9
88.33E-9,15.88E9
88.40E-9,15.87E9
88.46E-9,15.87E9
88.52E-9,15.87E9
88.58E-9,15.87E9
88.65E-9,15.88E9
88.71E-9,15.87E9
88.77E-9,15.88E9
88.84E-9,15.88E9
88.90E-9,15.88E9
88.96E-9,15.87E9
89.02E-9,15.88E9
89.09E-9,15.88E9
89.15E-9,15.88E9
89.21E-9,15.89E9
89.28E-9,15.87E9
89.34E-9,15.88E9
89.40E-9,15.88E9
89.47E-9,15.88E9
89.53E-9,15.88E9
89.59E-9,15.88E9
89.65E-9,15.89E9
89.72E-9,15.88E9
89.78E-9,15.88E9
89.84E-9,15.87E9
89.91E-9,15.88E9
89.97E-9,15.88E9
90.03E-9,15.88E9
90.10E-9,15.88E9
90.16E-9,15.88E9
90.22E-9,15.88E9
90.28E-9,15.88E9
90.35E-9,15.88E9
90.41E-9,15.88E9
90.47E-9,15.88E9
90.54E-9,15.88E9
90.60E-9,15.88E9
90.66E-9,15.88E9
90.73E-9,15.87E9
90.79E-9,15.88E9
90.85E-9,15.87E9
90.91E-9,15.86E9
90.98E-9,15.87E9
91.04E-9,15.86E9
91.10E-9,15.86E9
91.17E-9,15.86E9
91.23E-9,15.87E9
91.29E-9,15.87E9
91.36E-9,15.86E9
91.42E-9,15.87E9
91.48E-9,15.87E9
91.54E-9,15.87E9
91.61E-9,15.86E9
91.67E-9,15.87E9
91.73E-9,15.88E9
91.80E-9,15.87E9
91.86E-9,15.87E9
